time, sample_time, pressure,temperature
163650,1582,1037.18,19.5832
165838,1585,1038.18,19.8133
168034,1585,1038.92,19.9017
170214,1587,1038.73,19.9547
172390,1587,1038.51,19.9901
174573,1590,1039.44,20.0254
176760,1589,1039.79,20.0607
178952,1590,1040.43,20.0961
181133,1590,1040.49,20.1314
183314,1594,1039.7,20.1667
185495,1595,1040.31,20.1844
187675,1594,1040.91,20.2021
189867,1595,1040.98,20.2374
192059,1598,1041.08,20.2904
194250,1598,1041.18,20.3434
196448,1598,1040.64,20.3611
198647,1599,1041.28,20.3964
200862,1605,1041.6,20.4141
203074,1602,1041.63,20.4318
205291,1603,1041.66,20.4494
207499,1603,1041.7,20.4671
209703,1607,1041.73,20.4848
211915,1607,1041.48,20.5025
214132,1607,1041.8,20.5201
216351,1609,1041.83,20.5378
218578,1611,1042.12,20.5378
220793,1611,1041.86,20.5555
222998,1611,1041.9,20.5731
225207,1612,1042.18,20.5731
227423,1616,1042.18,20.5731
229643,1615,1042.22,20.5908
231861,1617,1041.99,20.6261
234081,1616,1042.25,20.6085
236309,1619,1041.99,20.6261
238542,1619,1042.03,20.6438
240780,1620,1042.03,20.6438
243023,1620,1041.99,20.6261
245255,1624,1042.06,20.6615
247485,1625,1042.06,20.6615
249719,1624,1042.06,20.6615
251956,1624,1042.35,20.6615
254202,1628,1042.38,20.6791
256456,1627,1042.09,20.6791
258715,1628,1041.52,20.6791