time, pressure, temperature
29,1023.14,15.0198
31,1027.97,16.5795
33,1045.53,17.4341
35,1046.21,17.9307
37,1045.37,18.1961
39,1045.68,18.3552
41,1045.11,18.4788
43,1043.58,18.6729
45,1041.65,18.7963
47,1041.69,18.9548
49,1041.65,19.0779
51,1041.55,19.1659
53,1041.21,19.2713
55,1041.07,19.3416
57,1039.95,19.4645
59,1040.66,19.5522
61,1041.37,19.6399
63,1041.77,19.71
65,1041.36,19.7801
67,1041.67,19.7976
69,1041.77,19.8501
71,1041.6,19.9027
73,1040.85,19.9377
75,1041.19,19.9727
77,1041.22,19.9902
79,1041.8,20.0077
81,1042.95,20.0426
83,1042.71,20.0601
85,1042.78,20.0951
87,1042.27,20.1126
89,1042.88,20.1476
91,1042.95,20.1826
93,1042.71,20.2001
95,1042.74,20.2176
98,1042.74,20.2176
100,1043.32,20.2351
102,1043.59,20.2351
104,1043.35,20.2526
106,1043.12,20.2701
108,1043.12,20.2701
110,1043.15,20.2876
112,1042.6,20.2876
114,1043.42,20.2876
116,1043.18,20.305
118,1043.45,20.305
120,1043.18,20.305
122,1042.91,20.305
124,1042.94,20.3225
126,1043.21,20.3225
128,1043.49,20.3225
130,1043.49,20.3225
132,1043.21,20.3225
134,1043.52,20.34
136,1043.25,20.34
138,1043.21,20.3225
140,1043.52,20.34
142,1043.25,20.34
144,1043.21,20.3225
146,1043.76,20.3225
148,1042.98,20.34
150,1044.88,20.34
152,1044.88,20.34
154,1045.42,20.34
156,1045.69,20.34
158,1045.69,20.34
161,1042.19,20.3575
163,1043.25,20.34
165,1043.55,20.3575
167,1044.34,20.34
169,1045.18,20.3575
171,1046,20.3575
173,1046,20.3575
175,1047.05,20.34
177,1047.63,20.3575
179,1047.9,20.3575
181,1047.63,20.3575
183,1047.87,20.34
185,1047.63,20.3575
187,1047.9,20.3575
189,1047.9,20.3575
191,1048.17,20.3575
193,1047.9,20.3575
196,1048.17,20.3575
198,1047.9,20.3575
200,1047.9,20.3575
202,1047.9,20.3575
204,1047.63,20.3575
206,1047.63,20.3575
208,1047.63,20.3575
210,1047.33,20.34
212,1046.82,20.3575
214,1046.82,20.3575
216,1046.82,20.3575
218,1046.82,20.3575
220,1046.82,20.3575
222,1047.09,20.3575
225,1046.82,20.3575
227,1047.36,20.3575
229,1047.36,20.3575
231,1045.18,20.3575
233,1044.91,20.3575
235,1045.18,20.3575
237,1045.73,20.3575
239,1042.19,20.3575